ID3_NULL_FRAME_TYPE|NULL|||Id3MarshalNull
ID3_MUSICBRAINZ_TRACKID|MUSICBRAINZ_TRACKID|UFID:http://musicbrainz.org|UFID:http://musicbrainz.org|Id3MarshalCustom
ID3_MUSICBRAINZ_TRMID|MUSICBRAINZ_TRMID|TXXX:MusicBrainz TRM Id|TXXX:MusicBrainz TRM Id|Id3MarshalUText
ID3_MUSICBRAINZ_WORKID|MUSICBRAINZ_WORKID|TXXX:MusicBrainz Work Id|TXXX:MusicBrainz Work Id|Id3MarshalUText
ID3_MUSICIANCREDITS|MUSICIANCREDITS||TMCL|Id3MarshalPVList
ID3_NARRATOR|NARRATOR|||Id3MarshalText
ID3_NETRADIOOWNER|NETRADIOOWNER|TRSO|TRSO|Id3MarshalText
ID3_NETRADIOSTATION|NETRADIOSTATION|TRSN|TRSN|Id3MarshalText
ID3_ORIGALBUM|ORIGALBUM|TOAL|TOAL|Id3MarshalText
ID3_ORIGARTIST|ORIGARTIST|TOPE|TOPE|Id3MarshalText
ID3_ORIGFILENAME|ORIGFILENAME|TOFN|TOFN|Id3MarshalText
ID3_ORIGLYRICIST|ORIGLYRICIST|TOLY|TOLY|Id3MarshalText
ID3_ORIGYEAR|ORIGYEAR|TORY|TDOR|Id3MarshalText
ID3_PODCAST|PODCAST|PCST|PCST|Id3MarshalPassthrough
ID3_PODCASTCATEGORY|PODCASTCATEGORY|TCAT|TCAT|Id3MarshalText
ID3_PODCASTDESC|PODCASTDESC|TDES|TDES|Id3MarshalText
ID3_PODCASTID|PODCASTID|TGID|TGID|Id3MarshalText
ID3_PODCASTKEYWORDS|PODCASTKEYWORDS|TKWD|TKWD|Id3MarshalText
ID3_PODCASTURL|PODCASTURL|WFED|WFED|Id3MarshalPassthrough
ID3_POPULARIMETER|POPULARIMETER|POPM|POPM|Id3MarshalPassthrough
ID3_PUBLISHER|PUBLISHER|TPUB|TPUB|Id3MarshalText
ID3_RATING_MM|RATING_MM|POPM|POPM|Id3MarshalPassthrough
ID3_RATING_WMP|RATING_WMP|POPM|POPM|Id3MarshalPassthrough
ID3_RELEASETIME|RELEASETIME|TDRL|TDRL|Id3MarshalText
ID3_SETSUBTITLE|SETSUBTITLE||TSST|Id3MarshalText
ID3_SUBTITLE|SUBTITLE|TIT3|TIT3|Id3MarshalText
ID3_TAGGINGTIME|TAGGINGTIME||TDTG|Id3MarshalText
ID3_TITLE|TITLE|TIT2|TIT2|Id3MarshalText
ID3_TITLESORT|TITLESORT|TSOT|TSOT|Id3MarshalText
ID3_TRACK|TRACK|TRCK|TRCK|Id3MarshalText
ID3_UNIQUEFILEID|UNIQUEFILEID|UFID|UFID|Id3MarshalUFID
ID3_UNSYNCEDLYRICS|UNSYNCEDLYRICS|USLT|USLT|Id3MarshalPassthrough
ID3_WWW|WWW|WXXX|WXXX|Id3MarshalUURL
ID3_WWWARTIST|WWWARTIST|WOAR|WOAR|Id3MarshalURL
ID3_WWWAUDIOFILE|WWWAUDIOFILE|WOAF|WOAF|Id3MarshalURL
ID3_WWWAUDIOSOURCE|WWWAUDIOSOURCE|WOAS|WOAS|Id3MarshalURL
ID3_WWWCOMMERCIALINFO|WWWCOMMERCIALINFO|WCOM|WCOM|Id3MarshalURL
ID3_WWWCOPYRIGHT|WWWCOPYRIGHT|WCOP|WCOP|Id3MarshalURL
ID3_WWWPAYMENT|WWWPAYMENT|WPAY|WPAY|Id3MarshalURL
ID3_WWWPUBLISHER|WWWPUBLISHER|WPUB|WPUB|Id3MarshalURL
ID3_WWWRADIOPAGE|WWWRADIOPAGE|WORS|WORS|Id3MarshalURL
ID3_YEAR|YEAR|TYER|TDRC|Id3MarshalText
